Epochs 100 | learning_rate 0.001 | weight_decay 0.0001 | Dropout 0.2 | Prob Of BCE Loss 0.8| optimizer AdamW
Epoch 1| Train_loss: 1.3280| Validate_loss: 1.2424| IOU: 0.0000
Epoch 2| Train_loss: 1.1732| Validate_loss: 1.1381| IOU: 0.0000
Epoch 3| Train_loss: 1.0981| Validate_loss: 1.0849| IOU: 0.0000
Epoch 4| Train_loss: 1.0424| Validate_loss: 1.0475| IOU: 0.0064
Epoch 5| Train_loss: 0.9418| Validate_loss: 1.3249| IOU: 0.0064
Epoch 6| Train_loss: 0.7099| Validate_loss: 0.7637| IOU: 0.3017
Epoch 7| Train_loss: 0.4470| Validate_loss: 0.5114| IOU: 0.5103
Epoch 8| Train_loss: 0.3188| Validate_loss: 0.5170| IOU: 0.3997
Epoch 9| Train_loss: 0.2564| Validate_loss: 0.4963| IOU: 0.3780
Epoch 10| Train_loss: 0.2281| Validate_loss: 0.4283| IOU: 0.4442
Epoch 11| Train_loss: 0.2138| Validate_loss: 0.5090| IOU: 0.3530
Epoch 12| Train_loss: 0.2070| Validate_loss: 0.3017| IOU: 0.5740
Epoch 13| Train_loss: 0.1907| Validate_loss: 0.3557| IOU: 0.5085
Epoch 14| Train_loss: 0.1981| Validate_loss: 0.3482| IOU: 0.5144
Epoch 15| Train_loss: 0.1747| Validate_loss: 0.3010| IOU: 0.5678
Epoch 16| Train_loss: 0.1714| Validate_loss: 0.3357| IOU: 0.5402
Epoch 17| Train_loss: 0.1621| Validate_loss: 0.3176| IOU: 0.5415
Epoch 18| Train_loss: 0.1572| Validate_loss: 0.4754| IOU: 0.4173
Epoch 19| Train_loss: 0.1464| Validate_loss: 0.2417| IOU: 0.6296
Epoch 20| Train_loss: 0.1420| Validate_loss: 0.3266| IOU: 0.5190
Epoch 21| Train_loss: 0.1398| Validate_loss: 0.3170| IOU: 0.5420
Epoch 22| Train_loss: 0.1381| Validate_loss: 0.2353| IOU: 0.6402
Epoch 23| Train_loss: 0.1356| Validate_loss: 0.2396| IOU: 0.6386
Epoch 24| Train_loss: 0.1249| Validate_loss: 0.2422| IOU: 0.6235
Epoch 25| Train_loss: 0.1238| Validate_loss: 0.2422| IOU: 0.6341
Epoch 26| Train_loss: 0.1258| Validate_loss: 0.4480| IOU: 0.4482
Epoch 27| Train_loss: 0.1184| Validate_loss: 0.2000| IOU: 0.6807
Epoch 28| Train_loss: 0.1134| Validate_loss: 0.3243| IOU: 0.5259
Epoch 29| Train_loss: 0.1093| Validate_loss: 0.2414| IOU: 0.6247
Epoch 30| Train_loss: 0.1075| Validate_loss: 0.3933| IOU: 0.4587
Epoch 31| Train_loss: 0.1087| Validate_loss: 0.3385| IOU: 0.5272
Epoch 32| Train_loss: 0.1081| Validate_loss: 0.3388| IOU: 0.5206
Epoch 33| Train_loss: 0.1100| Validate_loss: 0.2380| IOU: 0.6292
Epoch 34| Train_loss: 0.1137| Validate_loss: 0.2246| IOU: 0.6450
Epoch 35| Train_loss: 0.1052| Validate_loss: 0.2524| IOU: 0.6093
Epoch 36| Train_loss: 0.1012| Validate_loss: 0.4346| IOU: 0.4448
Epoch 37| Train_loss: 0.1002| Validate_loss: 0.4582| IOU: 0.4342
Epoch 38| Train_loss: 0.0974| Validate_loss: 0.2274| IOU: 0.6421
Epoch 39| Train_loss: 0.0995| Validate_loss: 0.2922| IOU: 0.5642
Epoch 40| Train_loss: 0.0951| Validate_loss: 0.4282| IOU: 0.4704
Epoch 41| Train_loss: 0.0973| Validate_loss: 0.2449| IOU: 0.6237
Epoch 42| Train_loss: 0.0934| Validate_loss: 0.4255| IOU: 0.4766
Epoch 43| Train_loss: 0.0921| Validate_loss: 0.2241| IOU: 0.6453
Epoch 44| Train_loss: 0.0863| Validate_loss: 0.2319| IOU: 0.6344
Epoch 45| Train_loss: 0.0882| Validate_loss: 0.2723| IOU: 0.5871
Epoch 46| Train_loss: 0.0847| Validate_loss: 0.4329| IOU: 0.4616
Epoch 47| Train_loss: 0.0877| Validate_loss: 0.2370| IOU: 0.6346
Epoch 48| Train_loss: 0.0875| Validate_loss: 0.2210| IOU: 0.6506
Epoch 49| Train_loss: 0.0858| Validate_loss: 0.2236| IOU: 0.6451
Epoch 50| Train_loss: 0.0848| Validate_loss: 0.2714| IOU: 0.5805
Epoch 51| Train_loss: 0.0842| Validate_loss: 0.2252| IOU: 0.6472
Epoch 52| Train_loss: 0.0863| Validate_loss: 0.2134| IOU: 0.6604
Epoch 53| Train_loss: 0.0836| Validate_loss: 0.2861| IOU: 0.5688
Epoch 54| Train_loss: 0.0800| Validate_loss: 0.2376| IOU: 0.6268
Epoch 55| Train_loss: 0.0808| Validate_loss: 0.4462| IOU: 0.4413
Epoch 56| Train_loss: 0.0835| Validate_loss: 0.2132| IOU: 0.6663
Epoch 57| Train_loss: 0.0842| Validate_loss: 0.4325| IOU: 0.4616
Epoch 58| Train_loss: 0.0833| Validate_loss: 0.2648| IOU: 0.5942
Epoch 59| Train_loss: 0.0852| Validate_loss: 0.2178| IOU: 0.6551
Epoch 60| Train_loss: 0.0804| Validate_loss: 0.4213| IOU: 0.4744
Epoch 61| Train_loss: 0.0785| Validate_loss: 0.2921| IOU: 0.5602
Epoch 62| Train_loss: 0.0757| Validate_loss: 0.2273| IOU: 0.6389
Epoch 63| Train_loss: 0.0752| Validate_loss: 0.3156| IOU: 0.5316
Epoch 64| Train_loss: 0.0756| Validate_loss: 0.3062| IOU: 0.5428
Epoch 65| Train_loss: 0.0737| Validate_loss: 0.4382| IOU: 0.4584
Epoch 66| Train_loss: 0.0733| Validate_loss: 0.2395| IOU: 0.6298
Epoch 67| Train_loss: 0.0747| Validate_loss: 0.2626| IOU: 0.5981
Epoch 68| Train_loss: 0.0727| Validate_loss: 0.2303| IOU: 0.6400
Epoch 69| Train_loss: 0.0747| Validate_loss: 0.2301| IOU: 0.6368
Epoch 70| Train_loss: 0.0719| Validate_loss: 0.3009| IOU: 0.5442
Epoch 71| Train_loss: 0.0724| Validate_loss: 0.2458| IOU: 0.6105
Epoch 72| Train_loss: 0.0732| Validate_loss: 0.2679| IOU: 0.5937
Epoch 73| Train_loss: 0.0768| Validate_loss: 0.4086| IOU: 0.4785
Epoch 74| Train_loss: 0.0754| Validate_loss: 0.3088| IOU: 0.5562
Epoch 75| Train_loss: 0.0704| Validate_loss: 0.2011| IOU: 0.6756
Epoch 76| Train_loss: 0.0709| Validate_loss: 0.2041| IOU: 0.6717
Epoch 77| Train_loss: 0.0708| Validate_loss: 0.2444| IOU: 0.6173
Epoch 78| Train_loss: 0.0688| Validate_loss: 0.4179| IOU: 0.4885
Epoch 79| Train_loss: 0.0676| Validate_loss: 0.4325| IOU: 0.4649
Epoch 80| Train_loss: 0.0671| Validate_loss: 0.3646| IOU: 0.5103
Epoch 81| Train_loss: 0.0663| Validate_loss: 0.2258| IOU: 0.6459
Epoch 82| Train_loss: 0.0680| Validate_loss: 0.2435| IOU: 0.6203
Epoch 83| Train_loss: 0.0758| Validate_loss: 0.3143| IOU: 0.5410
Epoch 84| Train_loss: 0.0698| Validate_loss: 0.2561| IOU: 0.6051
Epoch 85| Train_loss: 0.0670| Validate_loss: 0.4088| IOU: 0.4807
Epoch 86| Train_loss: 0.0779| Validate_loss: 0.2710| IOU: 0.5859
Epoch 87| Train_loss: 0.0673| Validate_loss: 0.4275| IOU: 0.4705
Epoch 88| Train_loss: 0.0664| Validate_loss: 0.3253| IOU: 0.5252
Epoch 89| Train_loss: 0.0657| Validate_loss: 0.2793| IOU: 0.5727
Epoch 90| Train_loss: 0.0631| Validate_loss: 0.3295| IOU: 0.5345
Epoch 91| Train_loss: 0.0605| Validate_loss: 0.2262| IOU: 0.6454
Epoch 92| Train_loss: 0.0627| Validate_loss: 0.2392| IOU: 0.6284
Epoch 93| Train_loss: 0.0627| Validate_loss: 0.2274| IOU: 0.6466
Epoch 94| Train_loss: 0.0661| Validate_loss: 0.2770| IOU: 0.5860
Epoch 95| Train_loss: 0.0670| Validate_loss: 0.3352| IOU: 0.5202
Epoch 96| Train_loss: 0.0605| Validate_loss: 0.4443| IOU: 0.4518
Epoch 97| Train_loss: 0.0586| Validate_loss: 0.4320| IOU: 0.4644
Epoch 98| Train_loss: 0.0585| Validate_loss: 0.4253| IOU: 0.4719
