epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.947,1.89471,2.56884,1.60131,0.22685,0.39535,0.1167,0.04886,1.88102,3.94683,1.4224,0.00023593,0.00023593,0.00023593
2,247.519,1.91257,1.84426,1.63541,0.00791,0.53488,0.0061,0.00262,1.85614,62.7498,1.35714,0.000469239,0.000469239,0.000469239
3,367.846,1.94748,1.74391,1.73888,0.65345,0.53488,0.5479,0.23655,1.74699,3.45079,1.27577,0.000697834,0.000697834,0.000697834
4,488.428,1.93338,1.58474,1.68465,0.83884,0.47674,0.54562,0.25899,1.75746,2.41925,1.25662,0.000692794,0.000692794,0.000692794
5,608.812,1.81267,1.3966,1.6549,0.85604,0.4186,0.50528,0.21451,1.77481,1.74903,1.23942,0.000685726,0.000685726,0.000685726
6,729.048,1.8267,1.45129,1.63774,0.60739,0.43023,0.46924,0.21861,1.74494,1.63209,1.22832,0.000678657,0.000678657,0.000678657
7,849.164,1.79526,1.40858,1.57136,0.79691,0.59315,0.6358,0.28909,1.71463,1.41386,1.21752,0.000671588,0.000671588,0.000671588
8,969.587,1.7703,1.26315,1.61634,0.51506,0.46512,0.41639,0.20265,1.85212,1.57602,1.27995,0.00066452,0.00066452,0.00066452
9,1089.72,1.77582,1.31444,1.56107,0.52725,0.48837,0.50416,0.21941,1.71653,1.53852,1.20999,0.000657451,0.000657451,0.000657451
10,1209.98,1.64546,1.17568,1.51469,0.86322,0.54651,0.64627,0.34105,1.69554,1.35567,1.18267,0.000650383,0.000650383,0.000650383
11,1330.25,1.65939,1.16489,1.48324,0.88499,0.54651,0.60511,0.30175,1.59181,1.31609,1.14595,0.000643314,0.000643314,0.000643314
12,1450.71,1.65799,1.16919,1.51698,0.78838,0.48837,0.55985,0.2407,1.81733,1.40872,1.28084,0.000636245,0.000636245,0.000636245
13,1570.76,1.6834,1.16599,1.55646,0.78801,0.64837,0.65919,0.29007,1.6375,1.22938,1.15981,0.000629177,0.000629177,0.000629177
14,1690.97,1.61837,1.0835,1.45834,0.72524,0.5218,0.58724,0.28888,1.71142,1.20854,1.17051,0.000622108,0.000622108,0.000622108
15,1810.67,1.56726,1.04067,1.46203,0.87086,0.59302,0.69293,0.35937,1.66942,1.12169,1.19508,0.00061504,0.00061504,0.00061504
16,1930.63,1.61874,1.03649,1.47969,0.893,0.59302,0.6512,0.32745,1.59317,1.21915,1.14803,0.000607971,0.000607971,0.000607971
17,2050.53,1.57907,1.07506,1.46607,0.88422,0.53285,0.60193,0.28914,1.67147,1.15578,1.16324,0.000600902,0.000600902,0.000600902
18,2170.57,1.54953,1.02351,1.41396,0.79228,0.62094,0.68237,0.35434,1.5123,1.08727,1.10785,0.000593834,0.000593834,0.000593834
19,2290.44,1.55308,1.03568,1.43177,0.87865,0.55814,0.63546,0.30211,1.68127,1.1608,1.16237,0.000586765,0.000586765,0.000586765
20,2410.16,1.44218,0.88941,1.34569,0.90875,0.56977,0.64426,0.3528,1.55633,1.20189,1.14247,0.000579697,0.000579697,0.000579697
21,2530.04,1.52569,0.99065,1.41533,0.80813,0.61628,0.66599,0.36004,1.60764,1.13295,1.14439,0.000572628,0.000572628,0.000572628
22,2649.99,1.45195,0.94247,1.3548,0.82488,0.60253,0.67637,0.35614,1.57462,1.14917,1.14293,0.000565559,0.000565559,0.000565559
23,2770.18,1.43736,0.91146,1.33544,0.88274,0.61278,0.70698,0.3674,1.55788,1.09895,1.13289,0.000558491,0.000558491,0.000558491
24,2890.5,1.40249,0.85208,1.33863,0.76991,0.63953,0.6396,0.36159,1.54057,1.3009,1.12845,0.000551422,0.000551422,0.000551422
25,3010.72,1.3731,0.85861,1.35145,0.82153,0.7093,0.73588,0.38281,1.56275,1.15896,1.15228,0.000544354,0.000544354,0.000544354
26,3131.19,1.39898,0.87315,1.31808,0.8572,0.62821,0.70458,0.37107,1.50466,1.05922,1.11427,0.000537285,0.000537285,0.000537285
27,3251.4,1.39836,0.81994,1.34003,0.8174,0.55814,0.67613,0.36282,1.61909,1.07835,1.13476,0.000530216,0.000530216,0.000530216
28,3371.6,1.41994,0.8575,1.34679,0.85371,0.60465,0.71142,0.36405,1.50823,1.1381,1.10314,0.000523148,0.000523148,0.000523148
